date,portfolio_value,cash,units,price,daily_return,drawdown,drawdown_pct
2021-06-15,10000.0,10000.0,0.0,40406.26953125,0.0,0.0,0.0
2021-06-16,10000.0,10000.0,0.0,38347.0625,0.0,0.0,0.0
2021-06-17,10000.0,10000.0,0.0,38053.50390625,0.0,0.0,0.0
2021-06-18,10000.0,10000.0,0.0,35787.24609375,0.0,0.0,0.0
2021-06-19,10000.0,10000.0,0.0,35615.87109375,0.0,0.0,0.0
2021-06-20,10000.0,10000.0,0.0,35698.296875,0.0,0.0,0.0
2021-06-21,10000.0,10000.0,0.0,31676.693359375,0.0,0.0,0.0
2021-06-22,10000.0,10000.0,0.0,32505.66015625,0.0,0.0,0.0
2021-06-23,10000.0,10000.0,0.0,33723.02734375,0.0,0.0,0.0
2021-06-24,10000.0,10000.0,0.0,34662.4375,0.0,0.0,0.0
2021-06-25,10000.0,10000.0,0.0,31637.779296875,0.0,0.0,0.0
2021-06-26,10000.0,10000.0,0.0,32186.27734375,0.0,0.0,0.0
2021-06-27,10000.0,10000.0,0.0,34649.64453125,0.0,0.0,0.0
2021-06-28,10000.0,10000.0,0.0,34434.3359375,0.0,0.0,0.0
2021-06-29,10000.0,10000.0,0.0,35867.77734375,0.0,0.0,0.0
2021-06-30,10000.0,10000.0,0.0,35040.8359375,0.0,0.0,0.0
2021-07-01,10000.0,10000.0,0.0,33572.1171875,0.0,0.0,0.0
2021-07-02,10000.0,10000.0,0.0,33897.046875,0.0,0.0,0.0
2021-07-03,10000.0,10000.0,0.0,34668.546875,0.0,0.0,0.0
2021-07-04,10000.0,10000.0,0.0,35287.78125,0.0,0.0,0.0
2021-07-05,10000.0,10000.0,0.0,33746.00390625,0.0,0.0,0.0
2021-07-06,10000.0,10000.0,0.0,34235.1953125,0.0,0.0,0.0
2021-07-07,10000.0,10000.0,0.0,33855.328125,0.0,0.0,0.0
2021-07-08,10000.0,10000.0,0.0,32877.37109375,0.0,0.0,0.0
2021-07-09,10000.0,10000.0,0.0,33798.01171875,0.0,0.0,0.0
2021-07-10,10000.0,10000.0,0.0,33520.51953125,0.0,0.0,0.0
2021-07-11,10000.0,10000.0,0.0,34240.1875,0.0,0.0,0.0
2021-07-12,10000.0,10000.0,0.0,33155.84765625,0.0,0.0,0.0
2021-07-13,10000.0,10000.0,0.0,32702.025390625,0.0,0.0,0.0
2021-07-14,10000.0,10000.0,0.0,32822.34765625,0.0,0.0,0.0
2021-07-15,10000.0,10000.0,0.0,31780.73046875,0.0,0.0,0.0
2021-07-16,10000.0,10000.0,0.0,31421.5390625,0.0,0.0,0.0
2021-07-17,10000.0,10000.0,0.0,31533.068359375,0.0,0.0,0.0
2021-07-18,10000.0,10000.0,0.0,31796.810546875,0.0,0.0,0.0
2021-07-19,10000.0,10000.0,0.0,30817.83203125,0.0,0.0,0.0
2021-07-20,10000.0,10000.0,0.0,29807.34765625,0.0,0.0,0.0
2021-07-21,10000.0,10000.0,0.0,32110.693359375,0.0,0.0,0.0
2021-07-22,10000.0,10000.0,0.0,32313.10546875,0.0,0.0,0.0
2021-07-23,10000.0,10000.0,0.0,33581.55078125,0.0,0.0,0.0
2021-07-24,10000.0,10000.0,0.0,34292.4453125,0.0,0.0,0.0
2021-07-25,10000.0,10000.0,0.0,35350.1875,0.0,0.0,0.0
2021-07-26,10000.0,10000.0,0.0,37337.53515625,0.0,0.0,0.0
2021-07-27,10000.0,10000.0,0.0,39406.94140625,0.0,0.0,0.0
2021-07-28,10149.457131848501,0.0,0.25376239929176503,39995.90625,0.014945713184850051,0.0,0.0
2021-07-29,10152.633126877137,0.0,0.25376239929176503,40008.421875,0.00031292265067750513,0.0,0.0
2021-07-30,10717.793710399808,0.0,0.25376239929176503,42235.546875,0.05566640461246619,0.0,0.0
2021-07-31,10563.163195887622,0.0,0.25376239929176503,41626.1953125,-0.014427457617713135,-0.014427457617713167,-1.4427457617713166
2021-08-01,10144.125147685258,0.0,0.25376239929176503,39974.89453125,-0.039669750474507603,-0.0535248744485446,-5.35248744485446
2021-08-02,9947.979699404561,0.0,0.25376239929176503,39201.9453125,-0.019335866368471843,-0.07182579099729014,-7.182579099729014
2021-08-03,9681.79186388185,0.0,0.25376239929176503,38152.98046875,-0.026757979365261808,-0.09666185732915288,-9.666185732915288
2021-08-04,10086.421957108803,0.0,0.25376239929176503,39747.50390625,0.041792893187100555,-0.05890874282067637,-5.890874282067637
2021-08-05,10371.156255486003,0.0,0.25376239929176503,40869.5546875,0.02822946527400849,-0.03234223985645967,-3.2342239856459667
2021-08-06,10865.217769275858,0.0,0.25376239929176503,42816.5,0.04763803587748594,0.0,0.0
2021-08-07,11306.586908615898,0.0,0.25376239929176503,44555.80078125,0.04062220829002827,0.0,0.0
2021-08-08,11114.315301961891,0.0,0.25376239929176503,43798.1171875,-0.017005273846830926,-0.017005273846830937,-1.7005273846830937
2021-08-09,11765.795742878026,0.0,0.25376239929176503,46365.40234375,0.05861633606895578,0.0,0.0
2021-08-10,11567.766901790086,0.0,0.25376239929176503,45585.03125,-0.016830892309838807,-0.016830892309838832,-1.6830892309838832
2021-08-11,11569.950646187117,0.0,0.25376239929176503,45593.63671875,0.00018877838873931907,-0.01664529122983091,-1.6645291229830912
2021-08-12,11274.229228928081,0.0,0.25376239929176503,44428.2890625,-0.02555943636254754,-0.04177928333045354,-4.177928333045354
2021-08-13,12128.14763261985,0.0,0.25376239929176503,47793.3203125,0.07574073458616004,0.0,0.0
2021-08-14,11951.433841813046,0.0,0.25376239929176503,47096.9453125,-0.01457055076832292,-0.01457055076832296,-1.457055076832296
2021-08-15,11938.76059073904,0.0,0.25376239929176503,47047.00390625,-0.0010603958689598958,-0.01561549608543963,-1.561549608543963
2021-08-16,11674.208333180515,0.0,0.25376239929176503,46004.484375,-0.02215910567498436,-0.037428576332499464,-3.7428576332499466
2021-08-17,11342.001632207683,0.0,0.25376239929176503,44695.359375,-0.028456465011732934,-0.06481995637138767,-6.481995637138767
2021-08-18,11368.856831120233,0.0,0.25376239929176503,44801.1875,0.0023677653895137762,-0.06260566943111986,-6.260566943111987
2021-08-19,11855.164714100478,0.0,0.25376239929176503,46717.578125,0.04277544261522093,-0.02250821203603736,-2.250821203603736
2021-08-20,12520.427625328146,0.0,0.25376239929176503,49339.17578125,0.056115872471717454,0.0,0.0
2021-08-21,12410.37503604467,0.0,0.25376239929176503,48905.4921875,-0.008789842693618932,-0.008789842693618974,-0.8789842693618974
2021-08-22,12515.980835784307,0.0,0.25376239929176503,49321.65234375,0.008509476904035251,-0.00035516275297527736,-0.03551627529752774
2021-08-23,12572.949503165935,0.0,0.25376239929176503,49546.1484375,0.004551674225862445,0.0,0.0
2021-08-24,12106.01875839411,0.0,0.25376239929176503,47706.1171875,-0.037137725293038826,-0.03713772529303884,-3.713772529303884
2021-08-25,12424.407303718008,0.0,0.25376239929176503,48960.7890625,0.02630002081428562,-0.011814427426955288,-1.1814427426955287
2021-08-26,11912.170058078878,0.0,0.25376239929176503,46942.21875,-0.0412283043462236,-0.05255564296354401,-5.255564296354401
2021-08-27,12449.245289808061,0.0,0.25376239929176503,49058.66796875,0.045086262965574164,-0.009838917536949062,-0.9838917536949062
2021-08-28,12409.590949881234,0.0,0.25376239929176503,48902.40234375,-0.003185280633781984,-0.01299285845724318,-1.299285845724318
2021-08-29,12391.17533326388,0.0,0.25376239929176503,48829.83203125,-0.0014839825657211314,-0.014457559847534867,-1.4457559847534867
2021-08-30,11940.785733636514,0.0,0.25376239929176503,47054.984375,-0.0363476092875793,-0.05027967139852419,-5.027967139852419
2021-08-31,11969.131786644903,0.0,0.25376239929176503,47166.6875,0.0023738850726162664,-0.04802514448729697,-4.802514448729697
2021-09-01,12395.538857020452,0.0,0.25376239929176503,48847.02734375,0.03562556399047523,-0.014110503354905712,-1.4110503354905712
2021-09-02,12517.521252848757,0.0,0.25376239929176503,49327.72265625,0.009840830417728652,-0.004408532007801423,-0.44085320078014234
2021-09-03,12694.55918547028,0.0,0.25376239929176503,50025.375,0.014143210068944922,0.0,0.0
2021-09-04,12674.06787172747,0.0,0.25376239929176503,49944.625,-0.0016141808032423821,-0.001614180803242371,-0.1614180803242371
2021-09-05,13133.0695327808,0.0,0.25376239929176503,51753.41015625,0.036215812136941805,0.0,0.0
2021-09-06,13356.412164457464,0.0,0.25376239929176503,52633.53515625,0.017006125728580734,0.0,0.0
2021-09-07,11878.904384806096,0.0,0.25376239929176503,46811.12890625,-0.11062160716956171,-0.11062160716956168,-11.062160716956168
2021-09-08,11696.261871693965,0.0,0.25376239929176503,46091.390625,-0.015375366885328479,-0.12429612625921344,-12.429612625921344
2021-09-09,11772.398521556473,0.0,0.25376239929176503,46391.421875,0.00650948573977872,-0.11859574438082889,-11.85957443808289
2021-09-10,11389.84873084602,0.0,0.25376239929176503,44883.91015625,-0.032495484247323514,-0.14723740248482553,-14.723740248482553
2021-09-11,11470.430187733622,0.0,0.25376239929176503,45201.45703125,0.007074848735204808,-0.14120423610036525,-14.120423610036525
2021-09-12,11689.125795473257,0.0,0.25376239929176503,46063.26953125,0.019066033632592738,-0.12483040718232671,-12.48304071823267
2021-09-13,11409.937593283703,0.0,0.25376239929176503,44963.07421875,-0.023884438158555343,-0.14573334120022846,-14.573334120022846
2021-09-14,11950.3038061287,0.0,0.25376239929176503,47092.4921875,0.0473592610325122,-0.10527590351475796,-10.527590351475796
2021-09-15,12225.345570364201,0.0,0.25376239929176503,48176.34765625,0.023015462091804384,-0.08468341498947797,-8.468341498947797
2021-09-16,12125.619921220654,0.0,0.25376239929176503,47783.359375,-0.008157286726135138,-0.09214991481859568,-9.214991481859567
2021-09-17,11994.719164820364,0.0,0.25376239929176503,47267.51953125,-0.010795386730801604,-0.10195050758172015,-10.195050758172016
2021-09-18,12251.23330012945,0.0,0.25376239929176503,48278.36328125,0.021385589090024082,-0.08274519015435808,-8.274519015435807
2021-09-19,11992.86650105366,0.0,0.25376239929176503,47260.21875,-0.021089044077959085,-0.10208921726991275,-10.208921726991276
2021-09-20,10872.145681028396,0.0,0.25376239929176503,42843.80078125,-0.09344895316951962,-0.18599803995566339,-18.59980399556634
2021-09-21,10326.524802251191,0.0,0.25376239929176503,40693.67578125,-0.050185206746198974,-0.22684889661229965,-22.684889661229963
2021-09-22,11057.57165045776,0.0,0.25376239929176503,43574.5078125,0.07079311406361977,-0.17211512236176066,-17.211512236176066
2021-09-23,11392.687697688098,0.0,0.25376239929176503,44895.09765625,0.0303064775724482,-0.14702484788504824,-14.702484788504824
2021-09-24,10871.117745059391,0.0,0.25376239929176503,42839.75,-0.04578111561282838,-0.1860750019388927,-18.60750019388927
2021-09-25,10839.865319571614,0.0,0.25376239929176503,42716.59375,-0.002874812528084414,-0.18841488372023985,-18.841488372023985
2021-09-26,10964.702542391951,0.0,0.25376239929176503,43208.5390625,0.011516492054097771,-0.17906827017737992,-17.906827017737992
2021-09-27,10717.840299590303,0.0,0.25376239929176503,42235.73046875,-0.02251426719942695,-0.19755094649509414,-19.755094649509413
2021-09-28,10413.024077591026,0.0,0.25376239929176503,41034.54296875,-0.02844007873591181,-0.2203726607583316,-22.03726607583316
2021-09-29,10547.47255128454,0.0,0.25376239929176503,41564.36328125,0.012911568502261384,-0.21030644896147702,-21.030644896147702
2021-09-30,11112.482463382632,0.0,0.25376239929176503,43790.89453125,0.053568275181648195,-0.1680039275102724,-16.80039275102724
2021-10-01,12210.270497831274,0.0,0.25376239929176503,48116.94140625,0.09878873042688929,-0.08581209178885402,-8.581209178885402
2021-10-02,12107.38174003093,0.0,0.25376239929176503,47711.48828125,-0.008426411013467527,-0.09351541484698327,-9.351541484698327
2021-10-03,12231.335750750608,0.0,0.25376239929176503,48199.953125,0.010237887379882071,-0.08423492775258758,-8.423492775258758
2021-10-04,12463.00793493215,0.0,0.25376239929176503,49112.90234375,0.018940873580984396,-0.06688953728926834,-6.688953728926834
2021-10-05,13072.522419065408,0.0,0.25376239929176503,51514.8125,0.04890588911725491,-0.021254940465786968,-2.1254940465786967
2021-10-06,14048.65418201921,0.0,0.25376239929176503,55361.44921875,0.0746704982911468,0.0,0.0
2021-10-07,13653.93569125522,0.0,0.25376239929176503,53805.984375,-0.02809653406297019,-0.02809653406297018,-2.809653406297018
2021-10-08,13695.010505862458,0.0,0.25376239929176503,53967.84765625,0.0030082765538104184,-0.025172779653824733,-2.5172779653824735
2021-10-09,13948.868066053958,0.0,0.25376239929176503,54968.22265625,0.01853649985027972,-0.007102895029829166,-0.7102895029829166
2021-10-10,13898.967077996353,0.0,0.25376239929176503,54771.578125,-0.003577422040362155,-0.010654907016961212,-1.0654907016961213
2021-10-11,14587.477995281011,0.0,0.25376239929176503,57484.7890625,0.04953684064585273,0.0,0.0
2021-10-12,14221.113487600387,0.0,0.25376239929176503,56041.05859375,-0.025114999851183484,-0.025114999851183435,-2.5114999851183435
2021-10-13,14566.24026323091,0.0,0.25376239929176503,57401.09765625,0.02426861834211813,-0.001455887855116022,-0.1455887855116022
2021-10-14,14546.047318559142,0.0,0.25376239929176503,57321.5234375,-0.001386283921372633,-0.002840153502563787,-0.2840153502563787
2021-10-15,15630.228335605136,0.0,0.25376239929176503,61593.94921875,0.07453440740995654,0.0,0.0
2021-10-16,15452.145615605279,0.0,0.25376239929176503,60892.1796875,-0.01139348166745524,-0.011393481667455246,-1.1393481667455245
2021-10-17,15619.993582586825,0.0,0.25376239929176503,61553.6171875,0.01086243756414218,-0.000654805086563973,-0.06548050865639729
2021-10-18,15739.886403658462,0.0,0.25376239929176503,62026.078125,0.007675599893030238,0.0,0.0
2021-10-19,16307.27732076866,0.0,0.25376239929176503,64261.9921875,0.03604796772728425,0.0,0.0
2021-10-20,16746.500383567814,0.0,0.25376239929176503,65992.8359375,0.026934175102288016,0.0,0.0
2021-10-21,15786.60247535308,0.0,0.25376239929176503,62210.171875,-0.057319313661295834,-0.05731931366129582,-5.731931366129582
2021-10-22,15401.414943453115,0.0,0.25376239929176503,60692.265625,-0.024399647264276236,-0.08032038989080599,-8.032038989080599
2021-10-23,15579.391598700144,0.0,0.25376239929176503,61393.6171875,0.011555863919028075,-0.06969269746727944,-6.969269746727943
2021-10-24,15461.955118352902,0.0,0.25376239929176503,60930.8359375,-0.007537937512080983,-0.07670529578080373,-7.670529578080373
2021-10-25,15997.137044681116,0.0,0.25376239929176503,63039.82421875,0.03461282368443608,-0.04474745897489107,-4.474745897489107
2021-10-26,15318.060934101375,0.0,0.25376239929176503,60363.79296875,-0.04244985266320056,-0.0852977885975549,-8.52977885975549
2021-10-27,14840.630770058853,0.0,0.25376239929176503,58482.38671875,-0.03116779376295975,-0.1138070384770695,-11.380703847706949
2021-10-28,15383.618863943408,0.0,0.25376239929176503,60622.13671875,0.03658793903693369,-0.08138306442590885,-8.138306442590885
2021-10-29,15791.117661793603,0.0,0.25376239929176503,62227.96484375,0.02648913766352501,-0.057049693959441344,-5.7049693959441345
2021-10-30,15705.05850561504,0.0,0.25376239929176503,61888.83203125,-0.005449845794435637,-0.062188627719178276,-6.218862771917828
2021-10-31,15560.445658318646,0.0,0.25376239929176503,61318.95703125,-0.009208042570786334,-0.07082403475850767,-7.082403475850767
2021-11-01,15480.624497369547,0.0,0.25376239929176503,61004.40625,-0.005129747739996526,-0.0755904730662643,-7.5590473066264305
2021-11-02,16044.483557336476,0.0,0.25376239929176503,63226.40234375,0.03642353446805324,-0.04192021079939656,-4.192021079939656
2021-11-03,15979.430178514911,0.0,0.25376239929176503,62970.046875,-0.004054563588107407,-0.045804806227191,-4.5804806227191
2021-11-04,15594.265445580506,0.0,0.25376239929176503,61452.23046875,-0.024103783966732295,-0.068804521039985,-6.8804521039985
2021-11-05,15511.398144580533,0.0,0.25376239929176503,61125.67578125,-0.005313959884109654,-0.07375285645944284,-7.375285645944284
2021-11-06,15613.361066127212,0.0,0.25376239929176503,61527.48046875,0.006573419146120196,-0.06766424575205418,-6.766424575205418
2021-11-07,16070.008486171488,0.0,0.25376239929176503,63326.98828125,0.029247220896912562,-0.040396015997475006,-4.039601599747501
2021-11-08,17145.92041753431,0.0,0.25376239929176503,67566.828125,0.06695154718111462,0.0,0.0
2021-11-09,16994.93178995571,0.0,0.25376239929176503,66971.828125,-0.008806096371717254,-0.008806096371717222,-0.8806096371717222
2021-11-10,16493.34562627123,0.0,0.25376239929176503,64995.23046875,-0.029513867421399387,-0.03806006183230167,-3.806006183230167
2021-11-11,16481.857921406416,0.0,0.25376239929176503,64949.9609375,-0.0006965054346838029,-0.03873005822707485,-3.873005822707485
2021-11-12,16280.365620071894,0.0,0.25376239929176503,64155.94140625,-0.012225096363245869,-0.05048167589634065,-5.048167589634065
2021-11-13,16359.941939956052,0.0,0.25376239929176503,64469.52734375,0.0048878705639170406,-0.045840553230054454,-4.584055323005446
2021-11-14,16613.02235279972,0.0,0.25376239929176503,65466.83984375,0.015469517787564113,-0.03108016669607443,-3.108016669607443
2021-11-15,16128.597862626719,0.0,0.25376239929176503,63557.87109375,-0.02915932332393223,-0.059333213390354085,-5.933321339035409
2021-11-16,15266.662153132327,0.0,0.25376239929176503,60161.24609375,-0.05344145330150951,-0.10960381353923447,-10.960381353923447
2021-11-17,15319.131494223388,0.0,0.25376239929176503,60368.01171875,0.003436857419438999,-0.10654364879955666,-10.654364879955667
2021-11-18,14449.773234549712,0.0,0.25376239929176503,56942.13671875,-0.05674983989800586,-0.15724715368603828,-15.724715368603828
2021-11-19,14748.563590825182,0.0,0.25376239929176503,58119.578125,0.020677857806173483,-0.13982083016421018,-13.982083016421019
2021-11-20,15148.90351348911,0.0,0.25376239929176503,59697.1953125,0.027144333086984274,-0.11647184026370194,-11.647184026370194
2021-11-21,14903.586644048773,0.0,0.25376239929176503,58730.4765625,-0.01619370466132397,-0.13077943434243464,-13.077943434243464
2021-11-22,14284.105046927707,0.0,0.25376239929176503,56289.2890625,-0.041565940596482887,-0.1669094047397982,-16.690940473979822
2021-11-23,14608.866398755694,0.0,0.25376239929176503,57569.07421875,0.022735855747423095,-0.1479683771414274,-14.796837714142741
2021-11-24,14281.855879412109,0.0,0.25376239929176503,56280.42578125,-0.02238438701660228,-0.16704058273787742,-16.70405827378774
2021-11-25,14534.160136167318,0.0,0.25376239929176503,57274.6796875,0.017666069374003168,-0.15232546388679552,-15.232546388679552
2021-11-26,13593.992254497518,0.0,0.25376239929176503,53569.765625,-0.06468677053655503,-0.2071587920940311,-20.71587920940311
2021-11-27,13910.005742365545,0.0,0.25376239929176503,54815.078125,0.023246554945143272,-0.1887279653916713,-18.87279653916713
2021-11-28,14527.505812001516,0.0,0.25376239929176503,57248.45703125,0.044392510044424904,-0.15271356344656,-15.271356344656
2021-11-29,14669.132986068744,0.0,0.25376239929176503,57806.56640625,0.009748898117819094,-0.14445345429999054,-14.445345429999055
2021-11-30,14465.83361889864,0.0,0.25376239929176503,57005.42578125,-0.013858989986877734,-0.15631046531015477,-15.631046531015476
2021-12-01,14522.778496055334,0.0,0.25376239929176503,57229.828125,0.003936508510805847,-0.15298927427637043,-15.298927427637043
2021-12-02,14331.94619800981,0.0,0.25376239929176503,56477.81640625,-0.013140205787574244,-0.16411916951666153,-16.411916951666154
2021-12-03,13601.219526580473,0.0,0.25376239929176503,53598.24609375,-0.05098586481791345,-0.20673727654357024,-20.673727654357023
2021-12-04,12485.28847184184,0.0,0.25376239929176503,49200.703125,-0.0820463968365337,-0.27182162474790594,-27.182162474790594
2021-12-05,12527.957231519631,0.0,0.25376239929176503,49368.84765625,0.003417522933012007,-0.26933305845115846,-26.933305845115846
2021-12-06,12835.968282475616,0.0,0.25376239929176503,50582.625,0.02458589579002135,-0.2513689571690251,-25.136895716902508
2021-12-07,12865.775451798676,0.0,0.25376239929176503,50700.0859375,0.002322159783127109,-0.24963051626896252,-24.963051626896252
2021-12-08,12816.218430743236,0.0,0.25376239929176503,50504.796875,-0.003851848747174591,-0.2525208260247899,-25.252082602478993
2021-12-09,12097.391828077562,0.0,0.25376239929176503,47672.12109375,-0.05608726213196946,-0.29444488639372557,-29.44448863937256
2021-12-10,12097.391828077562,12097.391828077562,0.0,47243.3046875,0.0,-0.29444488639372557,-29.44448863937256
2021-12-11,12097.391828077562,12097.391828077562,0.0,49362.5078125,0.0,-0.29444488639372557,-29.44448863937256
2021-12-12,12097.391828077562,12097.391828077562,0.0,50098.3359375,0.0,-0.29444488639372557,-29.44448863937256
2021-12-13,12097.391828077562,12097.391828077562,0.0,46737.48046875,0.0,-0.29444488639372557,-29.44448863937256
2021-12-14,12097.391828077562,12097.391828077562,0.0,46612.6328125,0.0,-0.29444488639372557,-29.44448863937256
2021-12-15,12097.391828077562,12097.391828077562,0.0,48896.72265625,0.0,-0.29444488639372557,-29.44448863937256
2021-12-16,12097.391828077562,12097.391828077562,0.0,47665.42578125,0.0,-0.29444488639372557,-29.44448863937256
2021-12-17,12097.391828077562,12097.391828077562,0.0,46202.14453125,0.0,-0.29444488639372557,-29.44448863937256
2021-12-18,12097.391828077562,12097.391828077562,0.0,46848.77734375,0.0,-0.29444488639372557,-29.44448863937256
2021-12-19,12097.391828077562,12097.391828077562,0.0,46707.015625,0.0,-0.29444488639372557,-29.44448863937256
2021-12-20,12097.391828077562,12097.391828077562,0.0,46880.27734375,0.0,-0.29444488639372557,-29.44448863937256
2021-12-21,12097.391828077562,12097.391828077562,0.0,48936.61328125,0.0,-0.29444488639372557,-29.44448863937256
2021-12-22,12097.391828077562,12097.391828077562,0.0,48628.51171875,0.0,-0.29444488639372557,-29.44448863937256
2021-12-23,12097.391828077562,12097.391828077562,0.0,50784.5390625,0.0,-0.29444488639372557,-29.44448863937256
2021-12-24,12097.391828077562,12097.391828077562,0.0,50822.1953125,0.0,-0.29444488639372557,-29.44448863937256
2021-12-25,12097.391828077562,12097.391828077562,0.0,50429.859375,0.0,-0.29444488639372557,-29.44448863937256
2021-12-26,12097.391828077562,12097.391828077562,0.0,50809.515625,0.0,-0.29444488639372557,-29.44448863937256
2021-12-27,12097.391828077562,12097.391828077562,0.0,50640.41796875,0.0,-0.29444488639372557,-29.44448863937256
2021-12-28,12097.391828077562,12097.391828077562,0.0,47588.85546875,0.0,-0.29444488639372557,-29.44448863937256
2021-12-29,12097.391828077562,12097.391828077562,0.0,46444.7109375,0.0,-0.29444488639372557,-29.44448863937256
2021-12-30,12097.391828077562,12097.391828077562,0.0,47178.125,0.0,-0.29444488639372557,-29.44448863937256
2021-12-31,12097.391828077562,12097.391828077562,0.0,46306.4453125,0.0,-0.29444488639372557,-29.44448863937256
2022-01-01,12097.391828077562,12097.391828077562,0.0,47686.8125,0.0,-0.29444488639372557,-29.44448863937256
2022-01-02,12097.391828077562,12097.391828077562,0.0,47345.21875,0.0,-0.29444488639372557,-29.44448863937256
2022-01-03,12097.391828077562,12097.391828077562,0.0,46458.1171875,0.0,-0.29444488639372557,-29.44448863937256
