strategy_name,parameters,return,sharpe,sortino,drawdown,robustness,walk_forward_score,composite_score,symbol,start_date,end_date,timestamp
EMA Crossover (EMA 50 vs EMA 200),"{'fast_period': 50, 'slow_period': 200}",310.41441249856507,0.909303043467552,1.4035574284949135,44.3493784165097,96.09754111123583,66.66666666666666,74.19418390790342,BTC-USD,2021-06-15,2026-06-15,2026-06-15T10:07:46.917255
EMA Price Crossover (EMA 50),{'ema_period': 50},216.32611825373203,0.8338289462218456,1.290179960714991,51.937799656618026,94.44944803953622,66.66666666666666,71.46429933523171,BTC-USD,2021-06-15,2026-06-15,2026-06-15T10:07:34.099063
MACD Strategy (MACD 12/26/9),"{'fast_period': 12, 'slow_period': 26, 'signal_period': 9}",118.22147415481894,0.6249958954836786,0.9640578223245363,44.37960985801248,84.85386521466354,100.0,70.04250988165411,BTC-USD,2021-06-15,2026-06-15,2026-06-15T10:08:06.948414
Donchian Breakout (Lookback 20),{'lookback_period': 20},90.5643206901539,0.5326919938249043,0.8048325329720095,45.94544693951023,85.09605295837085,66.66666666666666,65.78164105718318,BTC-USD,2021-07-05,2026-06-15,2026-06-15T10:08:24.687098
"Supertrend (ATR 10, Mult 3.0)","{'atr_period': 10, 'multiplier': 3.0}",94.14196369313245,0.5389211017881793,0.8041526718786551,46.889266137130264,79.33018515169002,33.33333333333333,65.68621513390633,BTC-USD,2021-06-15,2026-06-15,2026-06-15T10:08:18.220200
"ATR Breakout (ATR 14, Mult 1.5)","{'atr_period': 14, 'multiplier': 1.5}",61.988195770272995,0.4501163093646886,0.666183286992477,51.58892797920623,81.63103071969493,66.66666666666666,53.12561806449757,BTC-USD,2021-06-28,2026-06-15,2026-06-15T10:09:12.203414
"Bollinger Bands (Period 20, Std 2.0)","{'period': 20, 'std_dev': 2.0}",55.724167384817136,0.42764351939817374,0.6205224925613475,58.10811902846579,46.97145484927497,33.33333333333333,42.22167659341237,BTC-USD,2021-07-04,2026-06-15,2026-06-15T10:08:52.625760
SMA Crossover (SMA 20 vs SMA 50),"{'fast_period': 20, 'slow_period': 50}",18.66741874812784,0.27879167411521755,0.4092693851322874,57.87517763536884,78.89650667766804,66.66666666666666,34.702714649304255,BTC-USD,2021-08-03,2026-06-15,2026-06-15T10:07:59.428765
"RSI Strategy (RSI 14, OS 30, OB 70)","{'rsi_period': 14, 'oversold': 30, 'overbought': 70}",24.018094015007883,0.30833655511695474,0.44857087285774494,61.644485260617266,20.39174528217405,66.66666666666666,24.129137680646284,BTC-USD,2021-06-28,2026-06-15,2026-06-15T10:08:29.650452
