strategy_family,return,drawdown,sharpe,robustness,walk_forward_score,composite_score
EMA Crossover,248.50369446076206,54.87241949216906,0.6664295758627266,91.40905202761186,58.33333333333333,61.78666535031887
MACD Strategy,258.55857518526386,58.28735530655914,0.6560435703839393,83.45766846885384,75.0,61.702198295256245
EMA Price Crossover,568.3881929134759,59.658092275305115,0.7305598617943807,90.95553509324414,75.0,61.406309399405586
ATR Breakout,220.06978890821537,53.422014760469686,0.6041038396267466,84.0759566088544,49.99999999999999,60.9857103475612
Supertrend,354.74659138932043,52.02377309230856,0.6121280636484365,74.79794861662323,49.99999999999999,58.07419117154035
SMA Crossover,137.59233993532803,57.86244225675789,0.526037506653831,80.61123478432509,49.99999999999999,53.5640066134826
Donchian Breakout,159.35294696342575,61.190170453953286,0.5300517217034517,65.36977462490734,58.33333333333333,49.74910944223706
Bollinger Bands,-15.332285481469142,72.77494799943182,0.15089929759397347,19.20724665668097,49.99999999999999,18.665676410131287
RSI Strategy,-5.877045398476488,63.24724258012583,0.2236406615189093,6.824565763426339,49.99999999999999,15.06271208698087
